text,value
LS       5328,LS      |  05328  
LS       5818,LS      |  05818  
LS       5826,LS      |  05826  
LS       5908,LS      |  05908  
LS       5926,LS      |  05926  
LS       5929,LS      |  05929  
LS       A830,LS      | A00830  
MACDNLD  1441,MACDNLD |  01441  
MACDNLD  2740,MACDNLD |  02740  
MACDNLD  3248,MACDNLD |  03248  
MACGOWN  1165,MACGOWN |  01165  
MACGOWN  1200B,MACGOWN |  01200B 
MACGOWN  1220,MACGOWN |  01220  
MACGOWN  1330,MACGOWN |  01330  
MACGOWN  1340,MACGOWN |  01340  
MACGOWN  1350,MACGOWN |  01350  
MACGOWN  2203,MACGOWN |  02203  
MACGOWN  2204B,MACGOWN |  02204B 
MACGOWN  2217,MACGOWN |  02217  
MACGOWN  2310B,MACGOWN |  02310B 
MACGOWN  2310C,MACGOWN |  02310C 
MACGOWN  2330,MACGOWN |  02330  
MACGOWN  3312,MACGOWN |  03312  
MCGWN E  101,MCGWN E |  00101  
MCGWN E  102,MCGWN E |  00102  
MCGWN E  103,MCGWN E |  00103  
MDCC     12407,MDCC    |  12407  
MDCC     A2342,MDCC    | A02342  
MELNITZ  1409,MELNITZ |  01409  
MELNITZ  1410A,MELNITZ |  01410A 
MELNITZ  1422A,MELNITZ |  01422A 
MELNITZ  1439A,MELNITZ |  01439A 
MELNITZ  1441,MELNITZ |  01441  
MELNITZ  1446A,MELNITZ |  01446A 
MELNITZ  1451B,MELNITZ |  01451B 
MELNITZ  1462A,MELNITZ |  01462A 
MELNITZ  1470,MELNITZ |  01470  
MELNITZ  1473A,MELNITZ |  01473A 
MELNITZ  2410,MELNITZ |  02410  
MELNITZ  2457,MELNITZ |  02457  
MELNITZ  2471,MELNITZ |  02471  
MELNITZ  2474,MELNITZ |  02474  
MELNITZ  2479,MELNITZ |  02479  
MELNITZ  2487,MELNITZ |  02487  
MELNITZ  2534,MELNITZ |  02534  
MELNITZ  2536,MELNITZ |  02536  
MELNITZ  2544,MELNITZ |  02544  
MELNITZ  2558,MELNITZ |  02558  
MELNITZ  2568B,MELNITZ |  02568B 
MELNITZ  2585,MELNITZ |  02585  
MELNITZ  2586B,MELNITZ |  02586B 
MELNITZ  2589,MELNITZ |  02589  
MELNITZ  A405,MELNITZ | A00405  
MNOUKIAN 1208,MNOUKIAN|  01208  
MOL SCI  1434,MOL SCI |  01434  
MOL SCI  1601,MOL SCI |  01601  
MOL SCI  3440,MOL SCI |  03440  
MOL SCI  3515,MOL SCI |  03515  
MOL SCI  5241,MOL SCI |  05241  
MOORE    100,MOORE   |  00100  
MOORE    1003,MOORE   |  01003  
MOORE    1041,MOORE   |  01041  
MOORE    1048,MOORE   |  01048  
MOORE    2011A,MOORE   |  02011A 
MOORE    2016,MOORE   |  02016  
MOORE    2120,MOORE   |  02120  
MOORE    2137,MOORE   |  02137  
MOORE    2320,MOORE   |  02320  
MOORE    3021,MOORE   |  03021  
